SCIENTIFIC_NAME	FAMILY	CONSERVATION_ACT_1992	EPBC_ACT_1999	AUSTRALIAN	PERCENTAGE	HABITAT	SPECIES_PROFILE							
Acronychia wilcoxiana	Rutaceae	Least concern	Not listed	Yes	0.09	Rainforest	"Acronychia wilcoxiana, the Silver aspen  is a rainforest tree in the citrus family, found in eastern Australia. A tree to 15 metres  in height, with an appealing canopy of dark green leaves. Small white flowers appear from the leaf axils, in the months of January to May."							
Aegiceras corniculatum	Primulaceae	Least concern	Not listed	Yes	0.61	"Mangrove, muddy flats, coasts"	"The Black or River mangrove is a species of mangrove with a coastal and estuarine distribution ranging from India through to South East Asia, southern China, New Guinea and Australia.  Growing up to 7 metres high this species of mangrove produces small white flowers all year round. Mangroves have several adaptations to live in saline environments including the ability to extrude salt by glads n the leaves which accumulates over time resulting in a fine film of white salt crystals on the leaf surface.    "							
Agathis atropurpurea	Araucariaceae	Least concern	Not listed	Yes	0.09	Rain forest on mountain ridges	"The Black kauri, Agathis atropurpurea is a large rainforest tree to 50 metres tall.  Endemic to North East Queensland it has been impacted by logging and is now protected due to decline.  Bark of younger trees is distinctly blackish-purple however older trees develop bark that is reddish brown and somewhat flaky."							
Agathis microstachya	Araucariaceae	Near threatened	Not listed	Yes	0.26	Rainforest	The bull kauri is one of three Agathis species in Australia others being the Queensland kauri (Agathis robusta) and the black kauri (Agathis robusta) which are all located within Sherwood Arboretum. Bull kauris are restricted to the Atherton Tableland growing in areas of high rainfall with altitudes between 400 and 900 metres.							
Agathis robusta	Araucariaceae	Least concern	Not listed	Yes	7.99	Rainforest	"Sherwood Arboretum was officially opened on World Forestry Day, 21 March 1925, with a planting of 72 Queensland kauri pine (Agathis robusta) along a central promenade named Sir Matthew Nathan Avenue in honour of the Queensland Governor.  This tree was planted by Sir Matthew Nathan. Sir Matthew Nathan was a graduate of the Royal Military Academy, Sir Matthew also was Governor of Hong Kong and three African countries. Nathan accepted the offer of the governorship of Queensland in June 1920.  After his appointment as Governor expired, Nathan left Queensland for retirement in Somerset, England. He died in England in 1939."							
Akania bidwillii	Akaniaceae	Least concern	Not listed	Yes	0.09	Rainforest and coastal ranges	"The Turnipwood, Akania bidwillii grows throughout the warm temperate rainforests of New South Wales to the subtropical rainforests of South East Queensland.  Although widespread, it is not common in the wild.  This attractive small tree can be identified by its glossy green leaflets with a pale underside.  Fragrant white to pink flowers develop in spring followed by bright yellow fruit held in red capsules.    "							
Albizia lebbeck	Fabaceae	Least concern	Not listed	Yes	0.35	Rainforest and dry vine forest	"The Indian Siris, Albizia lebbeck is a deciduous, wide spreading tree endemic to the tropical regions of Asia, Africa and Northern Australia.  Due to its wide distribution, this fast-growing tree has been utilized by different cultures in many ways.  Some of these uses include medicine for coughs and colds, treatments for skin aliments as well as fish poison and dye made from the bark.  The tree itself is grown for timber and shade. "							
Alectryon connatus	Sapindaceae	Least concern	Not listed	Yes	0.18	Dry rainforest and littoral rainforest	"The Grey bird’s eye, Alectryon connatus is a shrub to small tree that can reach up to 6 metres in height.  It is found in dry and littoral rainforest along the coast of Queensland and New Guinea.  It is a bird and butterfly attracting plant providing both food and shelter to many species including the Green Cat Bird which gained its name from its cat like meowing."							
Alectryon coriaceus	Sapindaceae	Least concern	Not listed	Yes	0.09	Rainforest	"The Beach alectryon, Alectryon coriaceus is a bushy shrub or small tree growing to 6 metres in height.  Sometimes referred to as Beach bird’s eye due to the glossy black fruit that emerge from its eatable bright red covering, it is an excellent food source for local birds.  This rainforest tree can be found growing near the coastline from Newcastle to Maryborough.  The name coriaceus comes from the Latin work meaning leather like.  This is in reference to the leathery feel of the leaves."							
Alectryon subcinereus	Sapindaceae	Least concern	Not listed	Yes	0.09	Rainforest	"The Wild Quince, Alectryon subcinereus is a small tree usually found growing in rainforest.  It is widespread in coastal districts from Victoria to Queensland. The attractive rounded tree can reach a height of 10 metres and bears pinkish white flowers, both male and female flowers grow on the same tree.   A host plant to many butterfly species including the Pencilled-blue, Glistening Blue and Eastern or Bronze Flat. "							
Alectryon tomentosus	Sapindaceae	Least concern	Not listed	Yes	0.79	Rainforest	"The Hairy alectryon, Alectryon tomentosus is a small native tree ranging from the dry and subtropical rainforests of the Hunter Valley to South East Queensland.  Growing to 5 metres, this hardy, drought resistant tree can be identified by its hairy leaves and attractive coppery new growth. It is a host plant for various butterfly larvae."							
Allocasuarina torulosa	Casuarinaceae	Least concern	Not listed	Yes	0.18	Wet sclerophyll and rainforest margins	"The Forest oak or  River Oak, Allocasuarina torulosa is a tiber tree prized by woodworkers and woodturners as a rare and exotic timber, often used in wood turnings, knife handles and other specialist items."							
Alphitonia excelsa	Rhamnaceae	Least concern	Not listed	Yes	0.79	Open forest	"Red ash or soap tree, Alphitonia excelsa  is an Australian ornamental tree, with some specimens of high visual appeal. It may be used in amenity planting as a street tree providing shelter. It has also been used in boat-building and cabinet making."							
Alstonia constricta	Apocynaceae	Least concern	Not listed	Yes	0.09	Eucalypt and Acacia woodlands	"Alstonia constricta produces a white latex, and contains several alkaloids, several of which have medicinal potential, including reserpine."							
Alstonia scholaris	Apocynaceae	Least concern	Not listed	Yes	0.09	Lowland rain forest	"Devil's tree, Alstonia scholaris is a large tree up to 40 metres high found naturally through tropical parts of Australia, India, China, South East Asia and New Guinea.  The glossy green, leather like leaves are grey on the underside and occur in whorls, an arrangement of leaves that radiate from a single point.  The Devils tree has been utilized for a wide variety of uses including traditional medicine, household tools and utensils, floats and coffins.  "							
Angophora floribunda	Myrtaceae	Least concern	Not listed	Yes	0.09	Alluvial soils on floodplains and along watercourses	"The Rough-barked apple, Angophora floribunda is a medium tree growing to a height of 30 meters.  Widely distributed in South-Eastern Queensland, Eastern New South Wales into Victoria it is a variable species depending on its growing location.  The name floribunda comes from the Latin meaning abundant flowers which are utilized by a number of native animals and insects including flying foxes, birds, beetles, butterflies"							
Angophora subvelutina	Myrtaceae	Least concern	Not listed	Yes	0.18	Open forest and woodlands	"The Broad-leaved apple, Angophora subvelutina is a medium-sized tree to 20 metres.  Occuring naturally in woodland in subcoastal New South Wales, the Broad-leaved apple can be identified by its blue green foliage and flaky grey bark.  Angophora is genus myrtle family, Myrtaceae, it is one of three genus known as gum trees."							
Anthocarapa nitidula	Meliaceae	Not listed	Not listed	Yes	0.09	Rainforest	"Incense cedar, Anthocarapa nitidula is a large to medium rainforest tree. Anthocarapa nitidula occurs from far northern Queensland to North Eastern NSW as well as Malesia, the Solomon Islands, Vanuatu and New Caledonia. Freshly broken twigs emit a faint odour like that of onions."							
Aphananthe philippinensis	Cannabaceae	Least concern	Not listed	Yes	0.35	Rainforest	"Native elm, Aphananthe philippinensisis timber tree was popular for making tool handles. "							
Araucaria bidwillii	Araucariaceae	Least concern	Not listed	Yes	0.53	Rainforest	"Fossil records show that the bunya pine are ancient trees which once covered much of eastern Australia. This tree was most likely food and shelter for dinosaurs. Today the bunya pine is relatively scare endemic to only three places: the Bunya Mountains, the Blackall Range and Mount Molloy.  While called the bunya pine this tree is not a pine but a member of the family Araucariaceae.  The bunya pines have both male and female cones. It takes up to fifteen months for the cones to ripe and they can weigh up to 10 kilograms. For public safety the cones are removed annually from this tree."							
Araucaria cunninghamii var. cunninghamii	Araucariaceae	Least concern	Not listed	Yes	1.93	Rainforest and dry vine forest	"Hoop pine, Araucaria cunninghamii can live up to 450 years, growing very slowly (23 mm each year when mature). It occurs on drier sites in rainforests, in places that are rocky or have soils with relatively low fertility.  The scientific name cunninghamii honours Allan Cunningham, the botanist and explorer who first collection specimens in the 1820s. "							
Argyrodendron actinophyllum subsp. actinophyllum	Malvaceae	Least concern	Not listed	Yes	0.18	Rainforest	"The Black booyong, Argyrodendron actinophyllum subsp. Actinophyllum is a large subtropical rainforest tree to 50 metres.  The Black booyong has a thick buttresses which help support these large trees in strong wind and assist in nutrient take up from the soil. The branches of these large trees often provide a home for epiphytic plants such as orchids and ferns.  "							
Argyrodendron actinophyllum subsp. diversifolium	Malvaceae	Least concern	Not listed	Yes	0.09	Wet and dry rainforest	"The Mackay tulip oak, Argyrodendron actinophyllum subsp. diversifolium is a tall tree reaching up to 50 metres in height with a buttressed base native to Queensland. It can be found growing naturally in the Paluma Ranges near Townsville and around the Mackay region. It has a large crown with dark, glossy leaves, and small creamy flowers borne in autumn. "							
Argyrodendron perlatum	Malvaceae	Least concern	Not listed	Yes	0.09	Rainforest	"Red Tulip Oak, Argyrodendron perlatum is a buttressed rainforest tree to 35 metres.  Native to Far North Queensland it can be found from Cooktown to Tully.  Glossy green leaves are silver with dotted copper scales on the underside.  Fragrant flowers develop to produces a type of dry papery fruit designed to be spread by wind called a samara."							
Argyrodendron polyandrum	Malvaceae	Least concern	Not listed	Yes	0.09	Rainforest	"The Brown tulip oak, Argyrodendron polyandrum a native buttressed rainforest tree growing to 45 metres in height.  Endemic to Queensland, it can be found in seasonally dry rainforest from Cape York to Central Eastern Queensland.  Creamy yellow to brown flowers produce an unpleasant smell when they bloom mid-year followed by samara, a type of dry fruit designed to be spread by wind."							
Argyrodendron trifoliolatum	Malvaceae	Least concern	Not listed	Yes	0.26	Rainforest	"White Booyong, Argyrodendron trifoliolatum is a large timber tree reaching up to 40 meters in height. Found in subtropical and dry rainforests in Queensland, NSW and New Guinea."							
Atalaya hemiglauca	Sapindaceae	Least concern	Not listed	Yes	0.18	Widespread in mixed open forest	"Arlperrampwe tree gum is found on the trunk and branches of Atalaya hemiglauca in big globs. Some of it runs down the tree as its hanging there. For bushfood it is collected and made into a lump and kneaded until soft, and is then eaten."							
Atalaya salicifolia	Sapindaceae	Least concern	Not listed	Yes	0.09	Dry rainforest	"The Brush whitewood, Atalaya salicifolia is a small tree growing up to 10 metres in height found in dry rainforests of tropical and subtropical Australia, New Guinea and Malesia. The shiny green compound leaves feature 2-4 leaflets which are long and narrow when mature. Masses of small white flowers develop in spring and summer followed by three-winged seeds. "							
Atractocarpus fitzalanii	Rubiaceae	Least concern	Not listed	Yes	0.09	Rainforest	"Native gardenia, Atractocarpus fitzalanii is a  shrub or small tree now often cultivated for the showy perfumed flowers. It maintains a good shape and is adaptable and easy to grow. This species is one of the few native plants known to have been used as an aphrodisiac by the aborigines."							
Auranticarpa rhombifolia	Pittosporaceae	Least concern	Not listed	Yes	0.26	Rainforest	"The Diamond leaf pittosporum, Auranticarpa rhombifolia is a rainforest tree of eastern Australia. Known as the diamond leaf pittosporum, this tree is planted in many parts of Australia as an ornamental. The white flowers and orange fruit make it a most appealing street or garden tree."							
Avicennia marina	Acanthaceae	Least concern	Not listed	Yes	0.26	Intertidal zones of estuarine areas	"The Grey mangrove, Avicennia marina is one of the most widespread mangroves growing along the coast of Australia.  Reaching up to 25 metres high, it can be found along riverbeds, tidal estuaries and brackish areas in soft sand or mud.   Seeds from the Grey mangrove germinate while still attached to the parent plant, allowing a better chance them to take hold in challenging conditions.  Mangroves play several vital roles in our ecosystem including stabilizing banks, protecting land from storm surges as well as providing food and habitat for water birds, bees, juvenile fish, crabs and oysters. "							
Backhousia citriodora	Myrtaceae	Least concern	Not listed	Yes	0.44	Coastal forests	"The Lemon myrtle, Backhousia citriodora is endemic to the subtropical rainforests of Central and South-Eastern Queensland.  Reaching 15 metres in height, the aromatic leaves of this ornamental tree contain a high concentration of citral, the chemical that gives lemons their fragrance. The leaves of the Lemon myrtle can be used as a culinary herb for cooking.  It is currently being researched for its highly medicinal properties.  "							
Backhousia myrtifolia	Myrtaceae	Least concern	Not listed	Yes	0.18	Coastal forests	"Grey myrtle, Backhousia myrtifolia is a native hardwood that was popularised as a bushfood in the late 1980s. Its leaves give off a cinnamon fragrance when rubbed or crushed. "							
Banksia integrifolia subsp. integrifolia	Proteaceae	Least concern	Not listed	Yes	0.09	Coastal open forest	"The Coast Banksia, Banksia integrifolia subsp. Integrifolia is an upright tree to 20 metres.  It has a wide distribution through coastal areas of South-East Queensland to Victoria. This hardy species produces pale-yellow flowers in late summer through to winter.  The pale colour helps to guide night feeding animals and insects to its nectar rich blooms. "							
Barklya syringifolia	Fabaceae	Least concern	Not listed	Yes	0.09	Dry rainforest and vine thickets	"The Crown of gold, Barklya syringifolia is the floral emblem for the central Queensland town of Gladstone. This attractive dry rainforest tree can be identified by its glossy heart shaped leaves, bronze new growth and large clusters of dense yellow flower spikes in early summer.  "							
Barringtonia acutangula	Elaeocarpaceae	Least concern	Not listed		0.09	Coastal wetlands	"The Freshwater mangrove, Barringtonia acutangula is a wetland plant native to coastal Southern Asia and Northern Australasia.  This medium size tree has many traditional medical uses due to its antibacterial and antifungal properties.  In some cultures, the young leaves are consumed as food source.  The bright red pendulous flowers attract various birds and butterflies. "							
Blepharocarya involucrigera	Anacardiaceae	Least concern	Not listed	Yes	0.09	Rainforest	"The North Queensland bollygum, Blepharocarya involucrigera is a large rainforest tree occurring in far north Queensland.  This species is known for its decorative timber that has been said to be passed off as more expensive varieties of wood by industrious timber workers.  "							
Brachychiton acerifolius	Sterculiaceae	Least concern	Not listed	Yes	0.70	Rainforest	"The iconic Australian Illawarra flame tree, Brachychiton acerifolius has been idolized in song, literature and poetry for its masses of crimson flowers in late spring to summer when the tree is totally bare of foliage. “How to live, I said, as the flame tree lives? - to know what the flame tree knows: to be - prodigal of my life as that wild tree - and wear my passion so.”   The Flame Tree – Judith Wright"							
Brachychiton australis	Sterculiaceae	Least concern	Not listed	Yes	0.53	Rainforest and dry vine forest and thickets	"Resourceful Indigenous people found many uses for the Broad-leafed bottle tree, Brachychiton australis.  Fibre collected from the tree was used to make nets for catching birds and fish.  Bush bandages, twine, rope and baskets were also produced from the wooden textile.  "							
Brachychiton bidwillii	Sterculiaceae	Least concern	Not listed	Yes	0.18	Rainforest	"The Little kurrajong, Brachychiton bidwillii is a highly variable species.  Found in Queensland rainforests between Bowen and the New South Wales border, height and flower shape differ depending on the location it is grown.   Pink bell-shaped flowers can grow directly from trunk as well as from branches and twigs in spring and summer.  "							
Brachychiton compactus	Sterculiaceae	Near threatened	Not listed	Yes	0.09	Semi-evergreen notophyll-microphyll vine thickets or low vine forests	"The Whitsunday bottle tree, Brachychiton compactus is a semi-deciduous tree native to northeastern Australia. It is only found in the vicinity of Proserpine in Central Queensland.  This very limited distribution put the species under threat.  As with other bottle trees this species can store a significant amount of water between the inner bark and the trunk enabling the tree to survive during extended dry periods. "							
Brachychiton discolor	Sterculiaceae	Least concern	Not listed	Yes	0.79	Rainforest and dry vine forest	"Lacebark tree, Brachychiton discolor is a semi-decidous tree up to 30 metres high found in moist and dry rainforest from central New South Wales to southern Queensland. "							
Brachychiton populneus subsp. populneus	Sterculiaceae	Least concern	Not listed	Yes	0.09	Rainforest and dry vine forest	"The Kurrajong, Brachychiton populneus subsp. Populneus can be found naturally to the western side of the Great Dividing Range from the NSW border to North Queensland.  Trees along cattle routes have often been lopped to feed stock during drought.  "							
Brachychiton populneus subsp. trilobus	Sterculiaceae	Least concern	Not listed	Yes	0.09	Rainforest and dry vine forest	"The Kurrajong, Brachychiton populneus subsp. trilobus is a medium-sized tree growing up to 20 metres tall with an inland distribution in semi-arid regions of Queensland and New South Wales. Valued for its hardiness and tolerance of dry conditions, it typically grows stout with long alternating three-lobed leaves. White bell-shaped flowers are streaked purple-brown within the inner flower tube and are followed by woody boat-shaped seed capsules. Ground-up seeds have been said to be a useful coffee substitute when brewed. "							
Brachychiton rupestris	Sterculiaceae	Least concern	Not listed	Yes	0.88	Dry vine thickets	"The narrow-leaved bottle, Brachychiton rupestris is distinct by its large, bloated trunks and fine foliage. This species is endemic to central Queensland and northern New South Wales found in dry rainforest thickets. The seeds, roots, bark and stems have been traditionally used as a food sourced for Aboriginal people. The lacy inner bark was an important fibre source which was used for twine, dilly bags and fishing nets."							
Brachychiton sp. Ormeau	Sterculiaceae	Near threatened	Critically Endangered	Yes	0.18	Riparian rainforest	This iconic rainforest tree has a range of less than 1 square kilometre with only 161 individual trees. They grow to be over 120 years old and occur along creeks and rivers around the Gold Coast area.							
Breynia oblongifolia	Phyllanthaceae	Least concern	Not listed	Yes	0.09	"Coastal tropical rainforests,  cool Eucalypt woodlands  and arid Acacia woodlands"	"An open small to medium shrub, the Coffee bush, Breynia oblongifolia can be found naturally throughout warmer parts of Australia.  Growing along the edges of rainforests and moist gullies it is a valuable host plant for the common grass yellow butterfly.  Red berries that turn black when ripe are a source of bush tucker."							
Buckinghamia celsissima	Proteaceae	Least concern	Not listed	Yes	0.18	Rainforest	"Ivory curl tree, Buckinghamia celsissima is an attractive medium size tree.   The long spikes of creamy white flowers provide food for birds, bees and other nectivorous creatures in summer.  It has been utilized in Brisbane as a street tree due to its low maintenance, heavy flowering and compact size."							
Cadellia pentastylis	Surianaceae	Vulnerable	Vulnerable	Yes	0.09	Semi-evergreen vine thickets and sclerophyll vegetation	"A relic of the Gondwanan rainforests, the Ooline, Cadellia pentastylis has origins which date up to 1.6 million years ago.  Extensive land clearing for agriculture and grazing through Central Qld and NE NSW has reduced the numbers to half in some areas.  This medium-sized spreading tree is now listed as vulnerable under the Nature Conservation Act and is heavily protected by law.   "							
Callitris columellaris	Cupressaceae	Least concern	Not listed	Yes	0.26	Open forest and margins of littoral rainforest	"White cypress pine, Callitris columellaris is extensively used in building construction fencing telegraph poles.  The wood of this tree is  resistance to termite attack and high resistance to fungal decay. This plant is very flammable. "							
Callitris rhomboidea	Cupressaceae	Least concern	Not listed	Yes	0.26	Open woodland	"Growing across Australia in a variety of conditions, the Oyster Bay Pine, Callitris rhomboidei is a highly ornamental and drought tolerant tree.  Scale like foliage can take on a purple tinge in cooler weather and will grow in a traditional conical shape if left unpruned."							
Cananga odorata	Annonaceae	Least concern	Not listed	Yes	0.09	Rainforest	"Essential oil from the Ylang-ylang, Cananga odorata is one of the most widely used fragrances in the world.  The oil which is extracted from the flowers, leaves and fruit are also used to treat a range of medicinal complaints from gout to malaria. "							
Capparis arborea	Capparaceae	Least concern	Not listed	Yes	0.09	"Rainforest; usually riverine, littoral or the drier rainforests"	"Caper bush, Capparis arborea is a small tree occurring in eastern Australian rainforests.  Many sharp protective spines grow on younger plants but will reduce in numbers with age.  The Caper bush produces a guava like yellow fruit in summer. These edible fruits were a food source for Aboriginal people. "							
Cassia brewsteri	Fabaceae	Least concern	Not listed	Yes	0.26	"Open forest, dry vine forest and woodland"	"The Leichhardt Bean, Cassia brewsteri occurs in open forest and woodland throughout eastern Queensland.  Showy bright yellow 30cm flowers hang from the trees in summer followed by even longer ribbed seed pods.  "							
Castanospermum australe	Fabaceae	Least concern	Not listed	Yes	1.05	Rainforest	"The Black bean, Castanospermum australe is an attractive rainforest tree ranging from South East Queensland to Northern New South Wales.  Masses of red and yellow flowers attract birds in Summer.  The fine-grained timber is used for furniture and cabinet making.  "							
Casuarina cunninghamiana	Casuarinaceae	Least concern	Not listed	Yes	1.40	Riparian forest	"River she-oak, Casuarina cunninghamiana naturally occurs from the Northern Territory and northern Queensland to eastern New South Wales.  This evergreen tree which grows to 35 m tall has fine greyish needle-like foliage.  Naturally found along stream banks and swampy areas it is an important tree for stabilising riverbanks and preventing soil erosion.  The foliage can be used as cattle fodder and this species has been introduced into several other countries for the purposed of agroforestry. "							
Casuarina glauca	Casuarinaceae	Least concern	Not listed	Yes	1.05	Tidal estuaries	"The Swamp oak, Casuarina glauca is a large she-oak ranging from central Queensland to southern New South Wales.  It has become naturalised in the Everglades in Florida where it is considered a weed.  Fossils of Casurina pollen that have been found are dated over 60 million years old."							
Chionanthus ramiflora	"Oleaceae	"	Least concern	Not listed	Yes	0.61	Rainforest	"Native to North Queensland rainforest, the Northern olive, Chionanthus ramiflora is a medium tree to 25 metres.  Small whitish yellow flowers are followed by a black olive like fruit.  Seeded propagate readily making this tree a potential weed in areas outside its native habitat.  "							
Citrus X sinensis	"Rutaceae	"	Not listed	Not listed	No	0.09		"The Orange tree, Citrus X sinensis is one of the largest agricultural crops worldwide.  The fruit of the Orange is a type of modified berry known as a hesperidium.   The leathery rind containing numerous oil glands which can be processed commercially into essential oils for cleaning products and food.   "							
Commersonia bartramia	Malvaceae	Least concern	Not listed	Yes	0.18	Rainforest margins	"The Brown Kurrajong, Commersonia bartramia is a small but fast-growing pioneer tree native to dry and riverine rainforest.  Masses of creamy white flowers appear in Summer bringing with them nectar loving birds and butterflies.  Its heart shaped foliage has been used for stock fodder.  "							
Corymbia citriodora subsp. citriodora	Myrtaceae	Least concern	Not listed	Yes	0.18	Open forest	"Spotted gum, Corymbia citriodora is a tall tree growing to a height of 35 meters. It has a pale, uniform or slightly mottled bark with narrow-leaves. There are two subspecies of Corymbia citriodora. The leaves of the subspecies Corymbia citriodora subsp. citriodora smell strongly of lemons when crushed giving it the common name lemon-scented gum.  This subspecies variegata lacks the lemon-scented leaves.  Corymbia citriodora is an important forest tree, in demand for structural timber and for honey production. It also is popular in horticulture both within Australia and overseas."							
Corymbia citriodora subsp. variegata	Myrtaceae	Least concern	Not listed	Yes	1.32	Open forest	"Spotted gum, Corymbia citriodora is a tall tree growing to a height of 35 meters. It has a pale, uniform or slightly mottled bark with narrow-leaves. There are two subspecies of Corymbia citriodora. The leaves of the subspecies Corymbia citriodora subsp. citriodora smell strongly of lemons when crushed giving it the common name lemon-scented gum.  This subspecies variegata lacks the lemon-scented leaves.  Corymbia citriodora is an important forest tree, in demand for structural timber and for honey production. It also is popular in horticulture both within Australia and overseas."							
Corymbia citriodora subsp. variegata/camaldulensis	Myrtaceae	Least concern	Not listed	Yes	0.09	Open forest	"Spotted gum, Corymbia citriodora is a tall tree growing to a height of 35 meters. It has a pale, uniform or slightly mottled bark with narrow-leaves. There are two subspecies of Corymbia citriodora. The leaves of the subspecies Corymbia citriodora subsp. citriodora smell strongly of lemons when crushed giving it the common name lemon-scented gum.  This subspecies variegata lacks the lemon-scented leaves.  Corymbia citriodora is an important forest tree, in demand for structural timber and for honey production. It also is popular in horticulture both within Australia and overseas."							
Corymbia eximia	Myrtaceae	Least concern	Not listed	Yes	0.09	Open forest	"The Yellow bloodwood, Corymbia eximia occurs naturally around areas of New South Wales with high rainfall and sandstone soils.  Growing to 20 metres in good conditions, it is easily distinguished from others due to its yellowy brown bark.  Creamy white flowers feed nectar loving animals and insects.  This species can survive for over 100 years.  "							
Corymbia henryi	Myrtaceae	Least concern	Not listed	Yes	0.18	Open forest	"The large-leaved spotted gum, Corymbia henryi is an attractive eucalypt with pinkish dimpled bark.  It inhabits sandy soils in fire prone dry forest.  Ranging from coastal New South Wales to South East Queensland this medium to large tree is part of the bloodwood family.     "							
Corymbia intermedia	Myrtaceae	Least concern	Not listed	Yes	0.88	Open forest	"The Pink bloodwood, Corymbia intermedia grows naturally on a narrow belt of open forest between North Queensland and New South Wales. Reaching up to 30 metres in height, it has rough tessellated bark with slightly glossy or dull green leaves that are paler on the underside. Perfumed cream flowers are borne during summer. The dark pink to reddish heartwood is a hard and durable timber used for building bridges and fences. "							
Corymbia leichhardtii	Myrtaceae	Least concern	Not listed	Yes	0.09	Tropical and subtropical sclerophyll woodlands	"Leichhardt's rustyjacket, Corymbia leichhardtii grows to a height of 18 metres, from North Queensland to Central Queensland. A member of the bloodwood family, it can be found in tropical and subtropical sclerophyll woodland.  The adult leaves are thin, dull, grey-green in a lanceolate shape, a narrow oval leaf tapering to a point at the end.  Tessellated, thick brown to yellow-brown or orange bark covers the trunk.  "							
Corymbia tessellaris	Myrtaceae	Least concern	Not listed	Yes	1.76	Open forest and woodland	"The Moreton Bay ash, Corymbia tessellaris is widespread throughout Australia and Papua New Guinea. Growing to 10-20 tall this tree is very noticeable by its collar of tessellated bark on the lower section of the trunk.  A hardy tree resistant to strong winds, heat and drought it is planted as a street tree and in parks and gardens.   The timber from this tree has been used for making spears and in bridge construction. "							
Corymbia torelliana	Myrtaceae	Least concern	Not listed	Yes	0.09	Open forest and rainforest margins	"The Cadaghi, Corymbia torelliana is a fast-growing tree endemic to the coastal ranges of North Queensland. Growing up to 30 metres tall, it has smooth grey-green bark for most of its length, with mature trees developing a rough tessellated grey-brown stocking on the lower trunk. While it’s a magnificent tree in its natural distribution, elsewhere in Australia it has become a highly invasive weed dominating areas of bushland and inhibiting the growth of native species. "							
